id,lat,lon
83533572,37.1868974,-3.6036270
88144037,37.1946846,-3.6228425
267489671,37.1868624,-3.5919396
290912866,37.2016761,-3.6155480
290969327,37.1741866,-3.5852181
301014837,37.1552110,-3.6099542
311670605,37.1972806,-3.6230898
354662265,37.1718342,-3.5987221
354662277,37.1718533,-3.5986744
411900884,37.1875677,-3.6092686
476034320,37.1742179,-3.5998448
484320048,37.1887060,-3.6213473
490639121,37.1990196,-3.6070736
490639125,37.1997215,-3.6075502
505381169,37.1811465,-3.5923587
544480823,37.1552696,-3.5947047
544480824,37.1550242,-3.5945406
544505493,37.1901305,-3.6041118
544505524,37.1901436,-3.6039067
544605092,37.1970479,-3.6019642
544605476,37.1994751,-3.6016222
544709245,37.1896410,-3.6044207
544709267,37.1894513,-3.6056207
544721998,37.1913299,-3.6039047
544759749,37.1913304,-3.6055773
549453712,37.1810012,-3.5922083
549453722,37.1808520,-3.5908443
559918908,37.1716459,-3.5867441
566450876,37.1775638,-3.6016923
642093087,37.1752636,-3.5994706
642093089,37.1765103,-3.6000774
670733205,37.1950115,-3.6114625
670805294,37.1955584,-3.6101428
670805298,37.1953684,-3.6114790
670805655,37.1936825,-3.6100784
790501747,37.1742139,-3.5844971
811229447,37.1882188,-3.6080581
937036807,37.1774508,-3.6051760
937036811,37.1773906,-3.6051181
937036813,37.1774348,-3.6051269
937036818,37.1785023,-3.6041407
937036820,37.1774688,-3.6051599
937045542,37.1781507,-3.5968602
938090313,37.1798857,-3.6027419
940382840,37.1866342,-3.6100839
940383515,37.1867797,-3.6104111
940384670,37.1861383,-3.6107324
940385278,37.1864558,-3.6105890
940386465,37.1867676,-3.6096148
940388055,37.1852066,-3.6113064
940392096,37.1863974,-3.6122755
940392354,37.1858116,-3.6125794
940392918,37.1859947,-3.6121796
940393077,37.1859631,-3.6107221
940393461,37.1857440,-3.6113010
940396476,37.1865173,-3.6100599
940396795,37.1869442,-3.6100044
940430605,37.1828225,-3.6022095
940433220,37.1784059,-3.6038448
940530816,37.1840153,-3.5936213
940541039,37.1742618,-3.5987153
947091884,37.1823447,-3.6023872
947091889,37.1839250,-3.6034373
949483603,37.1880311,-3.6070650
951468367,37.1611987,-3.5849978
951537035,37.1626816,-3.5884379
951537376,37.1626595,-3.5884881
951537929,37.1630963,-3.5889050
951571670,37.1618315,-3.5921610
955706109,37.1798799,-3.6028166
956013422,37.1901554,-3.6057693
956104877,37.1900984,-3.6060114
956104883,37.1906193,-3.6064435
960111642,37.1881925,-3.6073867
960111649,37.1902943,-3.6053532
960111664,37.1874497,-3.6077538
967661729,37.1851072,-3.6067611
968466078,37.1865606,-3.6097010
1033185706,37.1908313,-3.5960133
1033185928,37.1897488,-3.5941383
1144241863,37.1876601,-3.6103580
1144241972,37.1851813,-3.6063278
1144242030,37.1840846,-3.6041203
1144242309,37.1832373,-3.6029372
1144242319,37.1833333,-3.6031128
1144242623,37.1846513,-3.6058314
1187111193,37.1820426,-3.5992138
1207075534,37.1832763,-3.5925934
1207078591,37.1827749,-3.5913511
1215985162,37.1534595,-3.6070202
1234374294,37.1855408,-3.6063604
1234376284,37.1859518,-3.6071152
1345327075,37.1770423,-3.6002592
1350351726,37.1856800,-3.6121516
1350491060,37.1660468,-3.5987626
1351214923,37.1765550,-3.5906660
1352744630,37.1813915,-3.6010461
1352747503,37.1879194,-3.6082689
1381642619,37.1724596,-3.6053837
1381702017,37.1769651,-3.6018830
1386534293,37.1763037,-3.5979749
1386545680,37.1726243,-3.5969769
1405285664,37.1850506,-3.6175149
1420233546,37.1602203,-3.5890907
1420237089,37.1571298,-3.5866519
1420239255,37.1602516,-3.5915627
1420247319,37.1596178,-3.5918322
1420247352,37.1559567,-3.5937653
1420247374,37.1590330,-3.5929471
1420247378,37.1592738,-3.5892562
1421362418,37.1511568,-3.5951364
1421367029,37.1580136,-3.5956735
1421372963,37.1590066,-3.5909334
1421374746,37.1577834,-3.5872728
1421374758,37.1575736,-3.5870693
1423160880,37.1590150,-3.5858478
1424128298,37.1585898,-3.5868339
1424128317,37.1591559,-3.5872391
1424129793,37.1595267,-3.5857928
1426818954,37.1636405,-3.5881074
1426818975,37.1633786,-3.5889005
1427004413,37.1509666,-3.5959108
1427182651,37.1864686,-3.6035210
1427182654,37.1845495,-3.6042959
1427199312,37.1860603,-3.6030165
1427199324,37.1853517,-3.6045079
1435637879,37.1600335,-3.6028853
1435637880,37.1604431,-3.6028900
1436281193,37.1675868,-3.6083870
1436452917,37.1677413,-3.5936968
1436452925,37.1670727,-3.5945575
1436682469,37.1589175,-3.5895168
1445636018,37.1592422,-3.5900903
1445650223,37.1593000,-3.5891140
1449395513,37.1572793,-3.5903595
1453818855,37.1595560,-3.5933249
1457873425,37.1934787,-3.6085184
1472937219,37.1529331,-3.5918750
1505452907,37.1812795,-3.5886432
1509172880,37.1752370,-3.5967279
1515242663,37.1516408,-3.5978670
1519370504,37.1570887,-3.5752390
1519370509,37.1573312,-3.5757118
1519370521,37.1575083,-3.5772785
1519370523,37.1580587,-3.5776217
1519370524,37.1581228,-3.5764079
1519370525,37.1578444,-3.5775781
1519370526,37.1581212,-3.5781607
1520148394,37.1677252,-3.6080985
1526764951,37.1741865,-3.5950216
1537996335,37.1595041,-3.6085214
1538006740,37.1623509,-3.6079902
1543269354,37.1729356,-3.6041301
1594536422,37.1882545,-3.6261365
1594536437,37.1887409,-3.6265027
1594536440,37.1888169,-3.6270618
1594536445,37.1889674,-3.6279940
1594536447,37.1890146,-3.6255260
1594536453,37.1891522,-3.6275552
1594536460,37.1892642,-3.6285123
1594536462,37.1892835,-3.6288454
1594552810,37.1864499,-3.6176419
1597408997,37.1629569,-3.5886486
1607342210,37.1697388,-3.6069837
1607381603,37.1772713,-3.6143980
1607381605,37.1772931,-3.6143407
1607381608,37.1780424,-3.6140100
1610300650,37.1906140,-3.6198169
1636373354,37.1581630,-3.5922537
1636373379,37.1582012,-3.5920922
1659165517,37.1567827,-3.5984095
1668657043,37.1750059,-3.6060417
1684071241,37.1874767,-3.6158388
1684071243,37.1875488,-3.6161879
1704809568,37.1788448,-3.5902914
1704809569,37.1789352,-3.5899484
1704809570,37.1790177,-3.5888866
